id,title,username,type,members_count,can_send_messages,language
,Lost Crypto Bitcoin Recovery Phrase,bitcoinwalletrecovery1,supergroup,24056,True,en
,SG All RELIABLE HUB,parurso,supergroup,23780,True,en
,Wisdomise Official Community,Wisdomisecommunity,supergroup,23590,True,en
,Intuition,intuitionsystems,supergroup,23477,True,en
,Nirvana,nirvana_telegram_group,supergroup,23425,True,en
,Compound Finance Labs Support,CompoundFinanceX,supergroup,23103,True,en
,THORChain Community,thorchainn,supergroup,23091,True,en
,[Airdrop_2] Flag Network,flagNetwork_airdrop2,supergroup,22791,True,en
,Crypto Miners,CryptoMiners_Co,supergroup,22729,True,en
,Chainlink Official,chainlinkofficial,supergroup,22520,True,en
,Data Ownership (Official Support) $DOP,dataownershipDOP,supergroup,22382,True,en
,PERSONAL STUDENT INSTANT LOAN,PERSONAL_STUDENT_LOAN_INSTANT0,supergroup,22148,True,en
,Memolabs Global,MemoLabsio,supergroup,21899,True,en
,Crypto signals from AI🤖,propheta_group,supergroup,21896,True,en
,BANK WIRE TRANSFERZ,GLOBALBANKWIRETRANS777,supergroup,21854,True,en
,OTC Market ICO/Whitelist - SCrypt,SCryptOTC,supergroup,21608,True,en
,Zilliqa Official Chat,Zilliqa_Eng,supergroup,21560,True,en
,Lords Mobile Official,LordsMobileTGOfficial,supergroup,21513,True,en
,Forex Currency Trading pairs Signals 📈,Forex_Trading_Psychology,supergroup,21433,True,en
,Crypto_News_Bitcoin_Trends_1,Crypto_News_Bitcoin_Trends_1,supergroup,21392,True,en
,Crypto market crash in,asdasfcdfh,supergroup,21390,True,en
,CSPR Products Suite,CSPRhub,supergroup,21388,True,en
,Dream11 asia cup today win,dream11_winning_asia_cup_today,supergroup,21374,True,en
,CA Articleship & Industrial Training (Students Union),Articleship_CA,supergroup,21323,True,en
,Precious metal Ai group,Preciousmetal19,supergroup,21286,True,en
,My DeFi Pet Official,mydefipet,supergroup,21259,True,en
,COTI - Currency of the Internet,COTInetwork,supergroup,21219,True,en
,VisionGame Official,visiongame_official,supergroup,21202,True,en
,Notespaedia - More than just notes,notespaedia,supergroup,21127,True,en
,KuCoin Arabic Community,kucoinAR,supergroup,21064,True,en
,Trump’s Empire Announcement Chat,trumps_empire_livechat,supergroup,21011,True,en
